"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000211592.8","ENSG00000211592.8",0.754895124995726,2.12738840178783,0.00784879307403469,"309","52","0.470059909680626",0.570374643269172,0.0287517375163106,"ENSG00000211592","IGKC","immunoglobulin kappa constant"
"ENSG00000197956.10","ENSG00000197956.10",-0.5514725663297,0.576100838752723,0.0253877625413565,"107","254","1.73580722806277",0.539346651284231,0.0313760002378488,"ENSG00000197956","S100A6","S100 calcium binding protein A6"
"ENSG00000202538.1","ENSG00000202538.1",-0.817299326442766,0.441622724250439,0.0399918918250841,"296","65","2.26437623131212",0.549638715161819,0.0204703077610561,"ENSG00000202538","RNU4-2","RNA, U4 small nuclear 2"
"ENSG00000160182.3","ENSG00000160182.3",-1.01577561124255,0.36212145541113,0.0170728028438329,"291","70","2.76150442084318",0.559809338757666,0.0193041099448472,"ENSG00000160182","TFF1","trefoil factor 1"
"ENSG00000075624.17","ENSG00000075624.17",-1.30100747841658,0.272257361399885,0.0291708977556539,"7","354","3.6729952676329",0.513145910498512,0.0114394110759316,"ENSG00000075624","ACTB","actin beta"
"ENSG00000016490.16","ENSG00000016490.16",-0.782093844198356,0.457447184705023,0.0214877792180891,"270","91","2.1860447138719",0.580818507498937,0.0206262205278587,"ENSG00000016490","CLCA1","chloride channel accessory 1"
"ENSG00000205542.11","ENSG00000205542.11",-0.469268156735549,0.625459839397757,0.0457534082688838,"176","185","1.59882367661348",0.562238144392495,0.0325806326788599,"ENSG00000205542","TMSB4X","thymosin beta 4 X-linked"
"ENSG00000212232.1","ENSG00000212232.1",-0.683829075796296,0.504680826730258,0.0132967700777478,"233","128","1.98145034848823",0.589592567854757,0.0254000873358834,"ENSG00000212232","SNORD17","small nucleolar RNA, C/D box 17"
"ENSG00000188257.12","ENSG00000188257.12",-0.547642561801472,0.578311538366244,0.0440717756273047,"249","112","1.72917179350259",0.539619891918149,0.0295202933257666,"ENSG00000188257","PLA2G2A","phospholipase A2 group IIA"
"ENSG00000132465.12","ENSG00000132465.12",-0.79311062293033,0.452435248675898,0.0342032509018756,"285","76","2.21026103277013",0.538618009593782,0.0252687920060138,"ENSG00000132465","JCHAIN","joining chain of multimeric IgA and IgM"
